Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,283€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros con asistencia en viaje,300€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros ampliado,533€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Todo riesgo con franquicia,1.072€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,199€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,216€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,377€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,667€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros sin asistencia en viaje,254€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros con asistencia en viaje,271€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros ampliado,480€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Todo riesgo con franquicia,908€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,175€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,192€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,332€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,607€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,222€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Terceros con asistencia en viaje,239€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Terceros ampliado,419€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),22,Todo riesgo con franquicia,836€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,157€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,174€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,298€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,523€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros sin asistencia en viaje,199€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros con asistencia en viaje,216€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Terceros ampliado,378€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",22,Todo riesgo con franquicia,709€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,138€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,155€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,264€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,477€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,213€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros con asistencia en viaje,230€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros ampliado,365€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Todo riesgo con franquicia,791€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros sin asistencia en viaje,153€
